Name,Type,Quantity,Attachments,Value,Total Value
Camera Case,Photography,1,2018-05-17 16.39.28.jpg (https://dl.airtable.com/Hwktzc1kRkqRr1USMYhb_camera.jpg),$20,$20
Nikon Lens,Photography,2,2018-05-18 15.01.25.jpg (https://dl.airtable.com/LxhDxM1qRgCYJYJ1iKCv_camera.jpg),$200,$400
Go Pro System,Photography,1,2018-05-18 15.02.35.jpg (https://dl.airtable.com/xUH1NPPUTXC6vKAaBg8u_camera.jpg),$150,$150
IP Camera,Photography,3,2018-05-18 15.05.55.jpg (https://dl.airtable.com/J3lFFpPTmSRUu68PK6NR_camera.jpg),$50,$150
Selfie Stick,Photography,1,2018-05-18 15.09.38.jpg (https://dl.airtable.com/vS95QNDATpeZAajPup0F_camera.jpg),$15,$15
Tripod,Photography,1,2018-05-18 15.49.44.jpg (https://dl.airtable.com/zGaMFY9BQSeFstz1Pl5R_camera.jpg),$25,$25
Mount Blanc Fountain Pen,Stationary,1,2018-05-18 15.05.12.jpg (https://dl.airtable.com/hrtuB9i5TSSu1CmQAjDm_camera.jpg),$200,$200
Staedtler Pencil Set,Stationary,1,2018-05-18 15.08.40.jpg (https://dl.airtable.com/qfPmxSBQQlSbJb9hEaSi_camera.jpg),$10,$10
Workbench Station,Tools,1,2018-05-18 15.43.32.jpg (https://dl.airtable.com/jJnWQ3hSIeCRLi3uEcgL_camera.jpg),$25,$25
Soldering Iron,Tools,1,2018-05-18 15.45.46.jpg (https://dl.airtable.com/69OYhQcS7uH6ajLJtkoQ_camera.jpg),$40,$40
