Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident),Incident Reported Year,Incident Reported Quarter,Incident Reported Month,# Incidents
YORK,Assault,2017,Q1,3,1
YORK,Assault,2017,Q2,4,2
YORK,Assault,2017,Q2,6,1
YORK,Assault,2017,Q3,7,2
YORK,Assault,2017,Q3,8,1
YORK,Assault,2017,Q3,9,1
YORK,Assault,2017,Q4,10,1
YORK,Assault,2017,Q4,11,2
YORK,Assault,2017,Q4,12,1
YORK,Break and Enter,2017,Q1,2,1
YORK,Break and Enter,2017,Q1,3,1
YORK,Break and Enter,2017,Q2,4,1
YORK,Break and Enter,2017,Q2,5,5
YORK,Break and Enter,2017,Q2,6,3
YORK,Break and Enter,2017,Q3,7,1
YORK,Break and Enter,2017,Q3,8,3
YORK,Break and Enter,2017,Q3,9,1
YORK,Break and Enter,2017,Q4,10,3
YORK,Break and Enter,2017,Q4,11,4
YORK,Break and Enter,2017,Q4,12,2
YORK,Robbery,2017,Q4,12,1
YORK,Sexual Assaults,2017,Q1,1,1
YORK,Sexual Assaults,2017,Q1,2,1
YORK,Sexual Assaults,2017,Q4,11,2
YORK,Sexual Assaults,2017,Q4,12,1
YORK,Theft From Vehicle,2017,Q1,2,3
YORK,Theft From Vehicle,2017,Q1,3,7
YORK,Theft From Vehicle,2017,Q2,4,1
YORK,Theft From Vehicle,2017,Q2,5,4
YORK,Theft From Vehicle,2017,Q2,6,5
YORK,Theft From Vehicle,2017,Q3,7,5
YORK,Theft From Vehicle,2017,Q3,8,4
YORK,Theft From Vehicle,2017,Q3,9,5
YORK,Theft From Vehicle,2017,Q4,10,8
YORK,Theft From Vehicle,2017,Q4,11,7
YORK,Theft From Vehicle,2017,Q4,12,2
YORK,Theft Of Vehicle,2017,Q1,1,2
YORK,Theft Of Vehicle,2017,Q1,2,2
YORK,Theft Of Vehicle,2017,Q1,3,1
YORK,Theft Of Vehicle,2017,Q2,4,1
YORK,Theft Of Vehicle,2017,Q2,5,9
YORK,Theft Of Vehicle,2017,Q2,6,4
YORK,Theft Of Vehicle,2017,Q3,7,1
YORK,Theft Of Vehicle,2017,Q3,8,1
YORK,Theft Of Vehicle,2017,Q3,9,3
YORK,Theft Of Vehicle,2017,Q4,10,1
YORK,Theft Of Vehicle,2017,Q4,11,1
YORK,Theft Of Vehicle,2017,Q4,12,1
YORK,Theft Over $5000,2017,Q3,9,1
YORK,Theft Over $5000,2017,Q4,11,1
YOUNGSTOWN INDUSTRIAL,Assault,2017,Q1,3,1
YOUNGSTOWN INDUSTRIAL,Assault,2017,Q2,5,1
YOUNGSTOWN INDUSTRIAL,Break and Enter,2017,Q1,1,2
YOUNGSTOWN INDUSTRIAL,Break and Enter,2017,Q1,3,1
YOUNGSTOWN INDUSTRIAL,Break and Enter,2017,Q2,6,1
YOUNGSTOWN INDUSTRIAL,Break and Enter,2017,Q3,7,1
YOUNGSTOWN INDUSTRIAL,Break and Enter,2017,Q4,11,1
YOUNGSTOWN INDUSTRIAL,Robbery,2017,Q4,12,1
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q1,2,1
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q2,5,1
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q3,7,2
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q3,8,2
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q3,9,1
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q4,10,1
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q4,11,6
YOUNGSTOWN INDUSTRIAL,Theft From Vehicle,2017,Q4,12,2
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q2,4,1
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q2,5,1
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q2,6,1
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q3,7,1
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q4,10,2
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q4,11,1
YOUNGSTOWN INDUSTRIAL,Theft Of Vehicle,2017,Q4,12,1
YOUNGSTOWN INDUSTRIAL,Theft Over $5000,2017,Q1,3,1
ABBOTTSFIELD,Assault,2018,Q1,1,1
ABBOTTSFIELD,Assault,2018,Q1,3,2
ABBOTTSFIELD,Assault,2018,Q2,4,4
ABBOTTSFIELD,Assault,2018,Q2,5,2
ABBOTTSFIELD,Assault,2018,Q2,6,5
ABBOTTSFIELD,Break and Enter,2018,Q1,2,1
ABBOTTSFIELD,Break and Enter,2018,Q2,5,1
ABBOTTSFIELD,Robbery,2018,Q1,3,2
ABBOTTSFIELD,Robbery,2018,Q2,5,1
ABBOTTSFIELD,Sexual Assaults,2018,Q2,6,1
ABBOTTSFIELD,Theft From Vehicle,2018,Q1,1,3
ABBOTTSFIELD,Theft From Vehicle,2018,Q1,3,1
ABBOTTSFIELD,Theft From Vehicle,2018,Q2,4,1
ABBOTTSFIELD,Theft From Vehicle,2018,Q2,5,1
ABBOTTSFIELD,Theft From Vehicle,2018,Q2,6,4
ABBOTTSFIELD,Theft Of Vehicle,2018,Q1,1,1
ABBOTTSFIELD,Theft Of Vehicle,2018,Q1,3,1
ABBOTTSFIELD,Theft Of Vehicle,2018,Q2,4,1
ABBOTTSFIELD,Theft Of Vehicle,2018,Q2,5,2
ABBOTTSFIELD,Theft Of Vehicle,2018,Q2,6,1
ALBANY,Assault,2018,Q1,1,1
ALBANY,Assault,2018,Q2,5,2
ALBANY,Assault,2018,Q2,6,1
ALBANY,Break and Enter,2018,Q1,3,1
ALBANY,Break and Enter,2018,Q2,4,1
ALBANY,Break and Enter,2018,Q2,5,2
ALBANY,Break and Enter,2018,Q2,6,1
ALBANY,Robbery,2018,Q2,5,1
ALBANY,Theft From Vehicle,2018,Q1,1,1
ALBANY,Theft From Vehicle,2018,Q1,3,1
ALBANY,Theft From Vehicle,2018,Q2,4,1
ALBANY,Theft From Vehicle,2018,Q2,5,1
ALBANY,Theft From Vehicle,2018,Q2,6,3
ALBANY,Theft Of Vehicle,2018,Q1,1,1
ALBANY,Theft Of Vehicle,2018,Q2,5,1
ALBANY,Theft Of Vehicle,2018,Q2,6,3
ALBERTA AVENUE,Assault,2018,Q1,1,10
ALBERTA AVENUE,Assault,2018,Q1,2,13
ALBERTA AVENUE,Assault,2018,Q1,3,15
ALBERTA AVENUE,Assault,2018,Q2,4,18
ALBERTA AVENUE,Assault,2018,Q2,5,19
ALBERTA AVENUE,Assault,2018,Q2,6,17
ALBERTA AVENUE,Break and Enter,2018,Q1,1,10
ALBERTA AVENUE,Break and Enter,2018,Q1,2,9
ALBERTA AVENUE,Break and Enter,2018,Q1,3,4
ALBERTA AVENUE,Break and Enter,2018,Q2,4,3
ALBERTA AVENUE,Break and Enter,2018,Q2,5,6
ALBERTA AVENUE,Break and Enter,2018,Q2,6,9
ALBERTA AVENUE,Homicide,2018,Q1,3,1
ALBERTA AVENUE,Robbery,2018,Q1,1,2
ALBERTA AVENUE,Robbery,2018,Q1,2,2
ALBERTA AVENUE,Robbery,2018,Q1,3,4
ALBERTA AVENUE,Robbery,2018,Q2,4,3
ALBERTA AVENUE,Robbery,2018,Q2,5,4
ALBERTA AVENUE,Robbery,2018,Q2,6,8
ALBERTA AVENUE,Sexual Assaults,2018,Q1,1,1
ALBERTA AVENUE,Sexual Assaults,2018,Q1,2,2
ALBERTA AVENUE,Sexual Assaults,2018,Q2,5,1
ALBERTA AVENUE,Sexual Assaults,2018,Q2,6,2
ALBERTA AVENUE,Theft From Vehicle,2018,Q1,1,11
ALBERTA AVENUE,Theft From Vehicle,2018,Q1,2,11
ALBERTA AVENUE,Theft From Vehicle,2018,Q1,3,12
ALBERTA AVENUE,Theft From Vehicle,2018,Q2,4,10
ALBERTA AVENUE,Theft From Vehicle,2018,Q2,5,10
ALBERTA AVENUE,Theft From Vehicle,2018,Q2,6,13
ALBERTA AVENUE,Theft Of Vehicle,2018,Q1,1,11
ALBERTA AVENUE,Theft Of Vehicle,2018,Q1,2,9
ALBERTA AVENUE,Theft Of Vehicle,2018,Q1,3,6
ALBERTA AVENUE,Theft Of Vehicle,2018,Q2,4,12
ALBERTA AVENUE,Theft Of Vehicle,2018,Q2,5,9
ALBERTA AVENUE,Theft Of Vehicle,2018,Q2,6,8
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q1,2,2
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q2,5,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q2,6,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q1,1,2
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q1,2,2
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q1,3,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q2,4,3
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q2,5,2
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q2,6,1
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q1,2,2
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q1,3,2
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q2,4,1
ALBERTA PARK INDUSTRIAL,Theft Over $5000,2018,Q1,3,2
ALDERGROVE,Assault,2018,Q1,1,1
ALDERGROVE,Assault,2018,Q1,2,1
ALDERGROVE,Assault,2018,Q1,3,3
ALDERGROVE,Assault,2018,Q2,4,4
ALDERGROVE,Assault,2018,Q2,6,3
ALDERGROVE,Break and Enter,2018,Q1,1,5
ALDERGROVE,Break and Enter,2018,Q1,2,3
ALDERGROVE,Break and Enter,2018,Q1,3,2
ALDERGROVE,Break and Enter,2018,Q2,4,2
ALDERGROVE,Break and Enter,2018,Q2,5,3
ALDERGROVE,Break and Enter,2018,Q2,6,3
ALDERGROVE,Robbery,2018,Q1,1,1
ALDERGROVE,Robbery,2018,Q1,2,1
ALDERGROVE,Sexual Assaults,2018,Q1,2,1
ALDERGROVE,Sexual Assaults,2018,Q1,3,1
ALDERGROVE,Sexual Assaults,2018,Q2,6,1
ALDERGROVE,Theft From Vehicle,2018,Q1,1,3
ALDERGROVE,Theft From Vehicle,2018,Q1,2,3
ALDERGROVE,Theft From Vehicle,2018,Q1,3,1
ALDERGROVE,Theft From Vehicle,2018,Q2,4,5
ALDERGROVE,Theft Of Vehicle,2018,Q1,1,1
ALDERGROVE,Theft Of Vehicle,2018,Q1,3,2
ALDERGROVE,Theft Of Vehicle,2018,Q2,4,2
ALDERGROVE,Theft Of Vehicle,2018,Q2,5,3
ALDERGROVE,Theft Of Vehicle,2018,Q2,6,2
ALLARD,Assault,2018,Q2,5,1
ALLARD,Break and Enter,2018,Q1,2,2
ALLARD,Break and Enter,2018,Q1,3,1
ALLARD,Break and Enter,2018,Q2,4,3
ALLARD,Break and Enter,2018,Q2,5,2
ALLARD,Break and Enter,2018,Q2,6,1
ALLARD,Theft From Vehicle,2018,Q1,1,3
ALLARD,Theft From Vehicle,2018,Q1,2,1
ALLARD,Theft From Vehicle,2018,Q1,3,2
ALLARD,Theft From Vehicle,2018,Q2,5,2
ALLARD,Theft From Vehicle,2018,Q2,6,5
ALLARD,Theft Of Vehicle,2018,Q1,2,1
ALLARD,Theft Of Vehicle,2018,Q1,3,1
ALLARD,Theft Of Vehicle,2018,Q2,5,2
ALLARD,Theft Over $5000,2018,Q2,4,1
ALLENDALE,Assault,2018,Q1,1,1
ALLENDALE,Assault,2018,Q1,2,2
ALLENDALE,Assault,2018,Q1,3,3
ALLENDALE,Assault,2018,Q2,4,1
ALLENDALE,Assault,2018,Q2,6,1
ALLENDALE,Break and Enter,2018,Q1,1,1
ALLENDALE,Break and Enter,2018,Q1,3,2
ALLENDALE,Break and Enter,2018,Q2,4,3
ALLENDALE,Break and Enter,2018,Q2,6,2
ALLENDALE,Robbery,2018,Q1,2,1
ALLENDALE,Robbery,2018,Q1,3,1
ALLENDALE,Robbery,2018,Q2,5,1
ALLENDALE,Sexual Assaults,2018,Q1,1,1
ALLENDALE,Sexual Assaults,2018,Q1,2,1
ALLENDALE,Sexual Assaults,2018,Q1,3,1
ALLENDALE,Sexual Assaults,2018,Q2,6,1
ALLENDALE,Theft From Vehicle,2018,Q1,1,6
ALLENDALE,Theft From Vehicle,2018,Q1,3,3
ALLENDALE,Theft From Vehicle,2018,Q2,4,4
ALLENDALE,Theft From Vehicle,2018,Q2,5,5
ALLENDALE,Theft From Vehicle,2018,Q2,6,3
ALLENDALE,Theft Of Vehicle,2018,Q1,2,2
ALLENDALE,Theft Of Vehicle,2018,Q1,3,1
ALLENDALE,Theft Of Vehicle,2018,Q2,4,7
ALLENDALE,Theft Of Vehicle,2018,Q2,5,2
ALLENDALE,Theft Of Vehicle,2018,Q2,6,1
AMBLESIDE,Assault,2018,Q1,1,2
AMBLESIDE,Assault,2018,Q1,3,2
AMBLESIDE,Assault,2018,Q2,5,2
AMBLESIDE,Break and Enter,2018,Q1,1,5
AMBLESIDE,Break and Enter,2018,Q1,2,4
AMBLESIDE,Break and Enter,2018,Q1,3,2
AMBLESIDE,Break and Enter,2018,Q2,4,1
AMBLESIDE,Break and Enter,2018,Q2,5,5
AMBLESIDE,Robbery,2018,Q1,3,1
AMBLESIDE,Robbery,2018,Q2,5,1
AMBLESIDE,Theft From Vehicle,2018,Q1,1,2
AMBLESIDE,Theft From Vehicle,2018,Q1,3,4
AMBLESIDE,Theft From Vehicle,2018,Q2,4,2
AMBLESIDE,Theft From Vehicle,2018,Q2,5,2
AMBLESIDE,Theft From Vehicle,2018,Q2,6,2
AMBLESIDE,Theft Of Vehicle,2018,Q1,1,1
AMBLESIDE,Theft Of Vehicle,2018,Q1,2,1
AMBLESIDE,Theft Of Vehicle,2018,Q1,3,1
AMBLESIDE,Theft Of Vehicle,2018,Q2,4,2
AMBLESIDE,Theft Over $5000,2018,Q1,3,1
ANTHONY HENDAY,Assault,2018,Q2,4,1
ANTHONY HENDAY,Theft From Vehicle,2018,Q1,3,1
ANTHONY HENDAY,Theft Of Vehicle,2018,Q1,2,2
ANTHONY HENDAY BIG LAKE,Assault,2018,Q2,5,1
ANTHONY HENDAY ENERGY PARK,Assault,2018,Q2,5,1
ANTHONY HENDAY ENERGY PARK,Theft From Vehicle,2018,Q2,6,1
ANTHONY HENDAY RAMPART,Assault,2018,Q1,1,4
ANTHONY HENDAY RAMPART,Assault,2018,Q2,4,3
ANTHONY HENDAY RAMPART,Assault,2018,Q2,5,1
ANTHONY HENDAY RAMPART,Sexual Assaults,2018,Q1,1,1
ANTHONY HENDAY SOUTH EAST,Assault,2018,Q2,6,1
ANTHONY HENDAY SOUTH EAST,Break and Enter,2018,Q2,4,1
ANTHONY HENDAY SOUTH EAST,Break and Enter,2018,Q2,6,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q1,1,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q1,3,2
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q1,1,1
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q1,2,1
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q2,4,1
ANTHONY HENDAY TERWILLEGAR,Theft Of Vehicle,2018,Q1,2,1
ANTHONY HENDAY TERWILLEGAR,Theft Of Vehicle,2018,Q2,6,1
ARGYLL,Assault,2018,Q1,1,1
ARGYLL,Break and Enter,2018,Q1,2,1
ARGYLL,Theft From Vehicle,2018,Q2,4,1
ARGYLL,Theft From Vehicle,2018,Q2,5,3
ARGYLL,Theft Of Vehicle,2018,Q2,6,1
ARMSTRONG INDUSTRIAL,Assault,2018,Q1,1,2
ARMSTRONG INDUSTRIAL,Assault,2018,Q2,4,3
ARMSTRONG INDUSTRIAL,Assault,2018,Q2,5,1
ARMSTRONG INDUSTRIAL,Sexual Assaults,2018,Q1,2,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q1,1,2
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q1,3,2
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q2,5,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q2,6,1
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q1,1,1
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q1,2,1
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q2,4,1
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q2,5,1
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q2,6,1
ARMSTRONG INDUSTRIAL,Theft Over $5000,2018,Q1,1,1
ASPEN GARDENS,Break and Enter,2018,Q1,1,1
ASPEN GARDENS,Break and Enter,2018,Q2,5,3
ASPEN GARDENS,Break and Enter,2018,Q2,6,2
ASPEN GARDENS,Theft From Vehicle,2018,Q1,3,1
ASPEN GARDENS,Theft From Vehicle,2018,Q2,4,1
ASPEN GARDENS,Theft From Vehicle,2018,Q2,5,2
ASPEN GARDENS,Theft From Vehicle,2018,Q2,6,1
ASPEN GARDENS,Theft Of Vehicle,2018,Q2,4,1
ASPEN GARDENS,Theft Over $5000,2018,Q2,5,1
ASPEN GARDENS,Theft Over $5000,2018,Q2,6,1
ASTER,Theft From Vehicle,2018,Q2,4,1
ATHLONE,Assault,2018,Q1,1,1
ATHLONE,Assault,2018,Q1,2,2
ATHLONE,Assault,2018,Q1,3,1
ATHLONE,Assault,2018,Q2,4,1
ATHLONE,Assault,2018,Q2,5,1
ATHLONE,Assault,2018,Q2,6,1
ATHLONE,Break and Enter,2018,Q1,1,1
ATHLONE,Break and Enter,2018,Q1,2,1
ATHLONE,Break and Enter,2018,Q1,3,2
ATHLONE,Break and Enter,2018,Q2,4,2
ATHLONE,Break and Enter,2018,Q2,5,2
ATHLONE,Break and Enter,2018,Q2,6,3
ATHLONE,Sexual Assaults,2018,Q1,2,1
ATHLONE,Sexual Assaults,2018,Q1,3,1
ATHLONE,Sexual Assaults,2018,Q2,4,1
ATHLONE,Theft From Vehicle,2018,Q1,1,1
ATHLONE,Theft From Vehicle,2018,Q1,2,1
ATHLONE,Theft From Vehicle,2018,Q1,3,1
ATHLONE,Theft From Vehicle,2018,Q2,5,2
ATHLONE,Theft From Vehicle,2018,Q2,6,7
ATHLONE,Theft Of Vehicle,2018,Q1,1,1
ATHLONE,Theft Of Vehicle,2018,Q1,2,1
AVONMORE,Assault,2018,Q1,1,1
AVONMORE,Break and Enter,2018,Q1,1,3
AVONMORE,Break and Enter,2018,Q1,2,1
AVONMORE,Break and Enter,2018,Q2,4,2
AVONMORE,Break and Enter,2018,Q2,5,1
AVONMORE,Break and Enter,2018,Q2,6,1
AVONMORE,Theft From Vehicle,2018,Q1,2,2
AVONMORE,Theft From Vehicle,2018,Q1,3,1
AVONMORE,Theft From Vehicle,2018,Q2,4,1
AVONMORE,Theft From Vehicle,2018,Q2,6,1
AVONMORE,Theft Of Vehicle,2018,Q1,1,1
AVONMORE,Theft Of Vehicle,2018,Q1,3,1
AVONMORE,Theft Of Vehicle,2018,Q2,6,1
AVONMORE,Theft Over $5000,2018,Q2,6,1
BALWIN,Assault,2018,Q1,2,2
BALWIN,Assault,2018,Q1,3,2
BALWIN,Assault,2018,Q2,4,3
BALWIN,Assault,2018,Q2,5,3
BALWIN,Assault,2018,Q2,6,4
BALWIN,Break and Enter,2018,Q1,1,2
BALWIN,Break and Enter,2018,Q1,3,1
BALWIN,Break and Enter,2018,Q2,4,3
BALWIN,Break and Enter,2018,Q2,5,2
BALWIN,Break and Enter,2018,Q2,6,2
BALWIN,Robbery,2018,Q1,1,1
BALWIN,Robbery,2018,Q1,3,1
BALWIN,Robbery,2018,Q2,5,2
BALWIN,Robbery,2018,Q2,6,2
BALWIN,Sexual Assaults,2018,Q2,6,1
BALWIN,Theft From Vehicle,2018,Q1,1,9
BALWIN,Theft From Vehicle,2018,Q1,2,5
BALWIN,Theft From Vehicle,2018,Q1,3,3
BALWIN,Theft From Vehicle,2018,Q2,4,6
BALWIN,Theft From Vehicle,2018,Q2,5,6
BALWIN,Theft From Vehicle,2018,Q2,6,5
BALWIN,Theft Of Vehicle,2018,Q1,1,3
BALWIN,Theft Of Vehicle,2018,Q1,2,4
BALWIN,Theft Of Vehicle,2018,Q1,3,3
BALWIN,Theft Of Vehicle,2018,Q2,4,4
BALWIN,Theft Of Vehicle,2018,Q2,5,3
BALWIN,Theft Of Vehicle,2018,Q2,6,2
BANNERMAN,Assault,2018,Q1,1,2
BANNERMAN,Assault,2018,Q1,3,2
BANNERMAN,Assault,2018,Q2,4,1
BANNERMAN,Assault,2018,Q2,5,2
BANNERMAN,Assault,2018,Q2,6,1
BANNERMAN,Break and Enter,2018,Q1,1,1
BANNERMAN,Break and Enter,2018,Q1,2,2
BANNERMAN,Break and Enter,2018,Q1,3,2
BANNERMAN,Break and Enter,2018,Q2,5,1
BANNERMAN,Break and Enter,2018,Q2,6,1
BANNERMAN,Robbery,2018,Q1,1,3
BANNERMAN,Robbery,2018,Q2,5,1
BANNERMAN,Robbery,2018,Q2,6,1
BANNERMAN,Sexual Assaults,2018,Q2,4,1
BANNERMAN,Sexual Assaults,2018,Q2,5,1
BANNERMAN,Sexual Assaults,2018,Q2,6,1
BANNERMAN,Theft From Vehicle,2018,Q1,1,2
BANNERMAN,Theft From Vehicle,2018,Q1,2,4
BANNERMAN,Theft From Vehicle,2018,Q2,5,3
BANNERMAN,Theft Of Vehicle,2018,Q1,1,1
BANNERMAN,Theft Of Vehicle,2018,Q1,3,2
BANNERMAN,Theft Of Vehicle,2018,Q2,5,1
BARANOW,Assault,2018,Q1,3,4
BARANOW,Assault,2018,Q2,6,2
BARANOW,Break and Enter,2018,Q1,3,2
BARANOW,Break and Enter,2018,Q2,4,1
BARANOW,Break and Enter,2018,Q2,6,1
BARANOW,Theft From Vehicle,2018,Q1,1,4
BARANOW,Theft From Vehicle,2018,Q1,2,3
BARANOW,Theft From Vehicle,2018,Q1,3,1
BARANOW,Theft From Vehicle,2018,Q2,4,1
BARANOW,Theft From Vehicle,2018,Q2,6,2
BARANOW,Theft Of Vehicle,2018,Q1,1,1
BARANOW,Theft Of Vehicle,2018,Q1,2,1
BARANOW,Theft Of Vehicle,2018,Q1,3,5
BARANOW,Theft Of Vehicle,2018,Q2,5,1
BARANOW,Theft Of Vehicle,2018,Q2,6,1
BATURYN,Assault,2018,Q2,4,2
BATURYN,Break and Enter,2018,Q1,3,1
BATURYN,Break and Enter,2018,Q2,4,2
BATURYN,Break and Enter,2018,Q2,5,3
BATURYN,Break and Enter,2018,Q2,6,2
BATURYN,Robbery,2018,Q2,4,1
BATURYN,Sexual Assaults,2018,Q1,1,1
BATURYN,Sexual Assaults,2018,Q2,4,1
BATURYN,Sexual Assaults,2018,Q2,6,1
BATURYN,Theft From Vehicle,2018,Q1,1,4
BATURYN,Theft From Vehicle,2018,Q1,2,4
BATURYN,Theft From Vehicle,2018,Q1,3,1
BATURYN,Theft From Vehicle,2018,Q2,5,1
BATURYN,Theft From Vehicle,2018,Q2,6,1
BATURYN,Theft Of Vehicle,2018,Q1,1,2
BATURYN,Theft Of Vehicle,2018,Q1,2,2
BATURYN,Theft Of Vehicle,2018,Q1,3,1
BATURYN,Theft Of Vehicle,2018,Q2,4,1
BATURYN,Theft Of Vehicle,2018,Q2,5,1
BEACON HEIGHTS,Assault,2018,Q1,1,2
BEACON HEIGHTS,Assault,2018,Q1,2,2
BEACON HEIGHTS,Assault,2018,Q1,3,2
BEACON HEIGHTS,Assault,2018,Q2,4,4
BEACON HEIGHTS,Assault,2018,Q2,5,4
BEACON HEIGHTS,Assault,2018,Q2,6,3
BEACON HEIGHTS,Break and Enter,2018,Q1,1,3
BEACON HEIGHTS,Break and Enter,2018,Q1,2,3
BEACON HEIGHTS,Break and Enter,2018,Q1,3,6
BEACON HEIGHTS,Break and Enter,2018,Q2,4,3
BEACON HEIGHTS,Break and Enter,2018,Q2,6,1
BEACON HEIGHTS,Robbery,2018,Q1,2,1
BEACON HEIGHTS,Robbery,2018,Q1,3,1
BEACON HEIGHTS,Robbery,2018,Q2,4,1
BEACON HEIGHTS,Robbery,2018,Q2,5,1
BEACON HEIGHTS,Robbery,2018,Q2,6,1
BEACON HEIGHTS,Sexual Assaults,2018,Q2,5,2
BEACON HEIGHTS,Sexual Assaults,2018,Q2,6,1
BEACON HEIGHTS,Theft From Vehicle,2018,Q1,1,5
BEACON HEIGHTS,Theft From Vehicle,2018,Q1,2,3
BEACON HEIGHTS,Theft From Vehicle,2018,Q1,3,4
BEACON HEIGHTS,Theft From Vehicle,2018,Q2,4,4
BEACON HEIGHTS,Theft From Vehicle,2018,Q2,5,5
BEACON HEIGHTS,Theft From Vehicle,2018,Q2,6,3
BEACON HEIGHTS,Theft Of Vehicle,2018,Q1,1,1
BEACON HEIGHTS,Theft Of Vehicle,2018,Q1,2,1
BEACON HEIGHTS,Theft Of Vehicle,2018,Q1,3,2
BEACON HEIGHTS,Theft Of Vehicle,2018,Q2,4,2
BEACON HEIGHTS,Theft Of Vehicle,2018,Q2,5,3
BEARSPAW,Break and Enter,2018,Q2,5,1
BEARSPAW,Robbery,2018,Q2,6,1
BEARSPAW,Sexual Assaults,2018,Q2,6,1
BEARSPAW,Theft From Vehicle,2018,Q1,3,1
BEARSPAW,Theft From Vehicle,2018,Q2,4,2
BEARSPAW,Theft From Vehicle,2018,Q2,5,1
BEARSPAW,Theft From Vehicle,2018,Q2,6,2
BEARSPAW,Theft Of Vehicle,2018,Q2,4,2
BEARSPAW,Theft Of Vehicle,2018,Q2,6,1
BEAUMARIS,Assault,2018,Q1,1,1
BEAUMARIS,Assault,2018,Q1,2,2
BEAUMARIS,Assault,2018,Q1,3,1
BEAUMARIS,Assault,2018,Q2,4,1
BEAUMARIS,Assault,2018,Q2,5,4
BEAUMARIS,Assault,2018,Q2,6,1
BEAUMARIS,Break and Enter,2018,Q1,3,3
BEAUMARIS,Break and Enter,2018,Q2,4,2
BEAUMARIS,Break and Enter,2018,Q2,5,2
BEAUMARIS,Break and Enter,2018,Q2,6,1
BEAUMARIS,Robbery,2018,Q1,2,1
BEAUMARIS,Robbery,2018,Q2,4,1
BEAUMARIS,Robbery,2018,Q2,5,1
BEAUMARIS,Theft From Vehicle,2018,Q1,1,3
BEAUMARIS,Theft From Vehicle,2018,Q1,2,3
BEAUMARIS,Theft From Vehicle,2018,Q1,3,2
BEAUMARIS,Theft From Vehicle,2018,Q2,4,1
BEAUMARIS,Theft From Vehicle,2018,Q2,5,4
BEAUMARIS,Theft From Vehicle,2018,Q2,6,4
BEAUMARIS,Theft Of Vehicle,2018,Q1,1,3
BEAUMARIS,Theft Of Vehicle,2018,Q1,3,1
BEAUMARIS,Theft Of Vehicle,2018,Q2,6,2
BELGRAVIA,Break and Enter,2018,Q1,1,2
BELGRAVIA,Break and Enter,2018,Q1,2,1
BELGRAVIA,Break and Enter,2018,Q1,3,4
BELGRAVIA,Break and Enter,2018,Q2,4,3
BELGRAVIA,Break and Enter,2018,Q2,5,9
BELGRAVIA,Break and Enter,2018,Q2,6,10
BELGRAVIA,Robbery,2018,Q2,5,1
BELGRAVIA,Theft From Vehicle,2018,Q1,1,2
BELGRAVIA,Theft From Vehicle,2018,Q1,3,2
BELGRAVIA,Theft From Vehicle,2018,Q2,4,2
BELGRAVIA,Theft From Vehicle,2018,Q2,5,3
