Neighbourhood ID,Neighbourhood,Animal/Insect Type,Status Code,Status Description,Created Date,Completed Date,Issue Date,Number of Hens,Neighbours Informed,Registered with Provincial APICult,Nbhd Centre Latitude,Nbhd Centre Longitude,Nbhd Centre Geo Location
1010,Alberta Avenue,Hens,DEV,In Development Review,04/29/2016 08:59:19 PM,,,4,Y,N,53.56848,-113.48517,"(53.568479070121306, -113.48516811504452)"
5462,Chappelle Area,Hens,CANCEL,Cancelled,05/03/2016 03:34:18 PM,01/11/2018 08:59:18 AM,,4,Y,N,53.40292,-113.58692,"(53.40292425520648, -113.5869178917687)"
3470,Carlton,Hens,CANCEL,Cancelled,04/28/2016 08:32:16 AM,07/05/2016 01:43:46 PM,07/05/2016 12:00:00 AM,3,Y,N,53.62165,-113.55936,"(53.62165146983822, -113.5593587287807)"
3270,Laurier Heights,Hens,ISSUED,Issued,04/28/2016 08:31:27 AM,01/17/2017 10:49:35 AM,01/17/2017 12:00:00 AM,7,Y,N,53.51425,-113.56933,"(53.51424671570046, -113.56933226321841)"
1250,Westwood,Hens,ISSUED,Issued,04/28/2016 08:45:46 AM,01/17/2017 11:22:26 AM,01/17/2017 12:00:00 AM,4,Y,N,53.57593,-113.49857,"(53.57592737297089, -113.49856633573052)"
3430,Wellington,Hens,ISSUED,Issued,04/28/2016 08:21:55 AM,10/18/2016 03:51:29 PM,10/18/2016 12:00:00 AM,6,Y,N,53.59581,-113.55270,"(53.59580848232346, -113.55269525431994)"
3200,Glenora,Hens,DEV,In Development Review,06/02/2017 04:57:07 PM,,,4,Y,N,53.54492,-113.55704,"(53.544922810381465, -113.557042450622)"
6770,Weinlos,Hens,ISSUED,Issued,04/28/2016 08:55:26 AM,08/08/2016 02:57:30 PM,08/08/2016 12:00:00 AM,5,Y,N,53.45997,-113.41361,"(53.45997443527031, -113.41360932167072)"
1170,Prince Rupert,Hens,ISSUED,Issued,04/28/2016 08:22:21 AM,11/04/2016 01:25:33 PM,11/04/2016 12:00:00 AM,3,Y,N,53.56458,-113.52406,"(53.56457537295389, -113.52406226603853)"
6240,Fulton Place,Bees,ISSUED,Issued,02/17/2018 08:38:39 AM,03/22/2018 01:15:20 PM,03/22/2018 12:00:00 AM,,Y,Y,53.54632,-113.42750,"(53.54631536218046, -113.42749643795536)"
6290,Hazeldean,Bees,ISSUED,Issued,02/14/2018 12:27:27 PM,03/22/2018 01:30:20 PM,03/22/2018 12:00:00 AM,,Y,Y,53.50419,-113.47789,"(53.50418528831584, -113.4778890044809)"
2720,York,Bees,CANCEL,Cancelled,03/18/2018 08:11:08 PM,03/30/2018 05:07:42 PM,,,Y,Y,53.60290,-113.43021,"(53.602895378014146, -113.43020574343895)"
