,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,timestamp_ms,truncated,user
78,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",I just saw this. I'm speechless.  https://t.co...,,,
79,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://ifttt.com""",Trump campaign chief charged with battery http...,,,
80,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""","RT @HillaryClinton: ""Every day, another Republ...",,,
81,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",@realDonaldTrump @MELANIATRUMP Get Them Good M...,,,
82,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @RockCliffOne: Remember when the idea of a ...,,,
83,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""","RT @immigrant4trump: @immigrant4trump msm, cab...",,,
84,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",@ErinBurnett @Bakari_Sellers @benfergusonshow ...,,,
85,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""","RT @immigrant4trump: @immigrant4trump msm, cab...",,,
86,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",@ErinBurnett @Bakari_Sellers @benfergusonshow ...,,,
87,NaN,NaN,Tue Mar 29 0.986331018518519 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",@noreallyhowcome @TVineberg Learn about Bernie...,,,
